phrase,frequency,custom_metric_score,wiki_score,final_score
dijkstra 's,12.0,0.0,0.5,62.0
multisets,12.0,0.0,0.5,62.0
branch-and-cut,12.0,0.0,0.5,62.0
primitives,12.0,0.0,0.5,62.0
lorawan,12.0,0.0,0.5,62.0
e-science,23.0,0.0,0.4,63.0
separability,23.0,0.0,0.4,63.0
observability,23.0,0.0,0.4,63.0
monotone,23.0,0.0,0.4,63.0
postprocessing,13.0,0.0,0.5,63.0
piecewise,13.0,0.0,0.5,63.0
geolocation,13.0,0.0,0.5,63.0
multicriteria,13.0,0.0,0.5,63.0
makespan minimization,13.0,0.0,0.5,63.0
higher-order,13.0,0.0,0.5,63.0
end-users,13.0,0.0,0.5,63.0
eigenvectors,13.0,0.0,0.5,63.0
preconditioning,13.0,0.0,0.5,63.0
tweets,34.0,0.0,0.3,64.0
moocs,34.0,0.0,0.3,64.0
saliency,34.0,0.0,0.3,64.0
multidimensional,24.0,0.0,0.4,64.0
digitalization,14.0,0.0,0.5,64.0
3-uniform hypergraphs,14.0,0.0,0.5,64.0
a hypergraph,14.0,0.0,0.5,64.0
wearables,14.0,0.0,0.5,64.0
reconfigurable meshes,14.0,0.0,0.5,64.0
i.,65.0,0.0,0.0,65.0
cybernetics,45.0,0.0,0.2,65.0
uplink,35.0,0.0,0.3,65.0
cross-correlation,25.0,0.0,0.4,65.0
descriptors,25.0,0.0,0.4,65.0
mimo-ofdm,25.0,0.0,0.4,65.0
visualisation,15.0,0.0,0.5,65.0
meta-learning,15.0,0.0,0.5,65.0
unsupervised,15.0,0.0,0.5,65.0
hmms,15.0,0.0,0.5,65.0
self-calibration,15.0,0.0,0.5,65.0
equilibria,56.0,0.0,0.1,66.0
ensembles,56.0,0.0,0.1,66.0
estimators,46.0,0.0,0.2,66.0
c.,36.0,0.0,0.3,66.0
randomization,26.0,0.0,0.4,66.0
prototyping,16.0,0.0,0.5,66.0
entropies,16.0,0.0,0.5,66.0
solvation,16.0,0.0,0.5,66.0
assertions,16.0,0.0,0.5,66.0
memristors,6.0,0.0,0.6,66.0
ogc,6.0,0.0,0.6,66.0
voxel,6.0,0.0,0.6,66.0
bpel,6.0,0.0,0.6,66.0
pvm,6.0,0.0,0.6,66.0
caches,6.0,0.0,0.6,66.0
unification,67.0,0.0,0.0,67.0
energy-efficient,67.0,0.0,0.0,67.0
multipliers,57.0,0.0,0.1,67.0
fmri,47.0,0.0,0.2,67.0
e-business,37.0,0.0,0.3,67.0
decentralized,27.0,0.0,0.4,67.0
hypergraph,17.0,0.0,0.5,67.0
laplacian,17.0,0.0,0.5,67.0
anti-spoofing,17.0,0.0,0.5,67.0
multi-label,7.0,0.0,0.6,67.0
cartography,7.0,0.0,0.6,67.0
visualizing,7.0,0.0,0.6,67.0
variational,7.0,0.0,0.6,67.0
schedulers,7.0,0.0,0.6,67.0
backtracking,7.0,0.0,0.6,67.0
facebook 's,7.0,0.0,0.6,67.0
metamodel,7.0,0.0,0.6,67.0
the complexities,7.0,0.0,0.6,67.0
adjacency,7.0,0.0,0.6,67.0
a meta-model,7.0,0.0,0.6,67.0
v2i,7.0,0.0,0.6,67.0
prentice-hall,7.0,0.0,0.6,67.0
lagrangians,7.0,0.0,0.6,67.0
meta-heuristics,7.0,0.0,0.6,67.0
fmea,7.0,0.0,0.6,67.0
proxies,7.0,0.0,0.6,67.0
a reconfigurable,7.0,0.0,0.6,67.0
multi-class,7.0,0.0,0.6,67.0
rejewski 's,7.0,0.0,0.6,67.0
gmpls,7.0,0.0,0.6,67.0
iiot,7.0,0.0,0.6,67.0
spline,7.0,0.0,0.6,67.0
coinduction,7.0,0.0,0.6,67.0
tomography,48.0,0.0,0.2,68.0
dct,28.0,0.0,0.4,68.0
the axiom,28.0,0.0,0.4,68.0
mmwave,18.0,0.0,0.5,68.0
semidefinite,8.0,0.0,0.6,68.0
functionalities,8.0,0.0,0.6,68.0
knowledge-based,8.0,0.0,0.6,68.0
cross-language,8.0,0.0,0.6,68.0
haar wavelet,8.0,0.0,0.6,68.0
lagrange interpolation,8.0,0.0,0.6,68.0
load-balancing,8.0,0.0,0.6,68.0
siso,8.0,0.0,0.6,68.0
subwords,8.0,0.0,0.6,68.0
bayesian classifier,8.0,0.0,0.6,68.0
iots,8.0,0.0,0.6,68.0
wlans,69.0,0.0,0.0,69.0
rationality,59.0,0.0,0.1,69.0
0.13,59.0,0.0,0.1,69.0
compressive,49.0,0.0,0.2,69.0
definability,49.0,0.0,0.2,69.0
microblogs,29.0,0.0,0.4,69.0
wordnet,19.0,0.0,0.5,69.0
reducibility,9.0,0.0,0.6,69.0
mpsocs,9.0,0.0,0.6,69.0
multicriteria decision-making,9.0,0.0,0.6,69.0
integrators,9.0,0.0,0.6,69.0
lsb,9.0,0.0,0.6,69.0
informatik,9.0,0.0,0.6,69.0
coap,9.0,0.0,0.6,69.0
openflow,9.0,0.0,0.6,69.0
single-image super-resolution,9.0,0.0,0.6,69.0
tabu,60.0,0.0,0.1,70.0
data-driven,20.0,0.0,0.5,70.0
rewriting,20.0,0.0,0.5,70.0
signcryption,10.0,0.0,0.6,70.0
fpga-based,10.0,0.0,0.6,70.0
centrality,10.0,0.0,0.6,70.0
sequence-dependent setups,10.0,0.0,0.6,70.0
multimodal biometrics,10.0,0.0,0.6,70.0
haar wavelets,10.0,0.0,0.6,70.0
0.18,51.0,0.0,0.2,71.0
oslash,41.0,0.0,0.3,71.0
a formalization,21.0,0.0,0.5,71.0
superconvergence,21.0,0.0,0.5,71.0
dependability,21.0,0.0,0.5,71.0
cryptanalysts ',21.0,0.0,0.5,71.0
component-based,11.0,0.0,0.6,71.0
self-organizing,11.0,0.0,0.6,71.0
sum-rate maximization,11.0,0.0,0.6,71.0
complexities,11.0,0.0,0.6,71.0
multigraphs,11.0,0.0,0.6,71.0
nb-iot,11.0,0.0,0.6,71.0
multigrid,11.0,0.0,0.6,71.0
nfv,11.0,0.0,0.6,71.0
game-tree,11.0,0.0,0.6,71.0
constructions,62.0,0.0,0.1,72.0
repositories,22.0,0.0,0.5,72.0
simulink,12.0,0.0,0.6,72.0
asymptotic optimality,12.0,0.0,0.6,72.0
the 3d,12.0,0.0,0.6,72.0
qos-aware,12.0,0.0,0.6,72.0
a classifier,12.0,0.0,0.6,72.0
a metamodel,12.0,0.0,0.6,72.0
sift,12.0,0.0,0.6,72.0
$ \,73.0,0.0,0.0,73.0
formalization,33.0,0.0,0.4,73.0
reconfiguration,33.0,0.0,0.4,73.0
manipulator,23.0,0.0,0.5,73.0
thresholding,13.0,0.0,0.6,73.0
microprocessor,13.0,0.0,0.6,73.0
axioms,44.0,0.0,0.3,74.0
discretization,44.0,0.0,0.3,74.0
topsis,34.0,0.0,0.4,74.0
forensics,24.0,0.0,0.5,74.0
traceability,24.0,0.0,0.5,74.0
discriminative,14.0,0.0,0.6,74.0
collocation,14.0,0.0,0.6,74.0
6lowpan,14.0,0.0,0.6,74.0
csp,35.0,0.0,0.4,75.0
peer-to-peer,25.0,0.0,0.5,75.0
triangulations,25.0,0.0,0.5,75.0
re-identification,25.0,0.0,0.5,75.0
cipher,25.0,0.0,0.5,75.0
multipath,25.0,0.0,0.5,75.0
inpainting,15.0,0.0,0.6,75.0
the parallelization,15.0,0.0,0.6,75.0
super-resolution,36.0,0.0,0.4,76.0
teleoperation,26.0,0.0,0.5,76.0
residuated lattices,26.0,0.0,0.5,76.0
refinements,16.0,0.0,0.6,76.0
metamodels,16.0,0.0,0.6,76.0
low-resolution adcs,16.0,0.0,0.6,76.0
multilevel thresholding,16.0,0.0,0.6,76.0
coprocessor,6.0,0.0,0.7,76.0
fingerprinting,6.0,0.0,0.7,76.0
flowshops,6.0,0.0,0.7,76.0
statecharts,6.0,0.0,0.7,76.0
location-aware,6.0,0.0,0.7,76.0
hardware/software codesign,6.0,0.0,0.7,76.0
ergonomics,6.0,0.0,0.7,76.0
wsdl,6.0,0.0,0.7,76.0
manet,77.0,0.0,0.0,77.0
a conjecture,77.0,0.0,0.0,77.0
trajectories,67.0,0.0,0.1,77.0
bayesian,47.0,0.0,0.3,77.0
hough,47.0,0.0,0.3,77.0
prioritization,37.0,0.0,0.4,77.0
pitfalls,27.0,0.0,0.5,77.0
quantifiers,27.0,0.0,0.5,77.0
deconvolution,17.0,0.0,0.6,77.0
chebyshev polynomials,17.0,0.0,0.6,77.0
cographs,17.0,0.0,0.6,77.0
nonuniform grids,7.0,0.0,0.7,77.0
rnn,7.0,0.0,0.7,77.0
the tradeoff,7.0,0.0,0.7,77.0
multiclass,7.0,0.0,0.7,77.0
a fault-tolerant,7.0,0.0,0.7,77.0
histogram equalization,7.0,0.0,0.7,77.0
lossless,7.0,0.0,0.7,77.0
the p-version,7.0,0.0,0.7,77.0
hbase,7.0,0.0,0.7,77.0
subsequences,7.0,0.0,0.7,77.0
rate-distortion,7.0,0.0,0.7,77.0
webrtc,7.0,0.0,0.7,77.0
multiresolution,7.0,0.0,0.7,77.0
decidability,48.0,0.0,0.3,78.0
decompositions,38.0,0.0,0.4,78.0
fractals,28.0,0.0,0.5,78.0
hpc,18.0,0.0,0.6,78.0
bisimilarity,18.0,0.0,0.6,78.0
irreducible polynomials,18.0,0.0,0.6,78.0
timestamps,8.0,0.0,0.7,78.0
hashing,8.0,0.0,0.7,78.0
agent-based,8.0,0.0,0.7,78.0
a dbms,8.0,0.0,0.7,78.0
ws-bpel,8.0,0.0,0.7,78.0
labview,8.0,0.0,0.7,78.0
metamodeling,8.0,0.0,0.7,78.0
multitasking,8.0,0.0,0.7,78.0
multi-core,8.0,0.0,0.7,78.0
iterative solvers,8.0,0.0,0.7,78.0
takagi-sugeno,8.0,0.0,0.7,78.0
a matroid,8.0,0.0,0.7,78.0
resilience,59.0,0.0,0.2,79.0
opportunistic,29.0,0.0,0.5,79.0
zigbee,19.0,0.0,0.6,79.0
arcgis,9.0,0.0,0.7,79.0
co-occurrence,9.0,0.0,0.7,79.0
self-stabilization,9.0,0.0,0.7,79.0
subgraph,9.0,0.0,0.7,79.0
cyber-attacks,9.0,0.0,0.7,79.0
convolutions,9.0,0.0,0.7,79.0
decode-and-forward,9.0,0.0,0.7,79.0
xgboost,9.0,0.0,0.7,79.0
diffserv,9.0,0.0,0.7,79.0
exergames,9.0,0.0,0.7,79.0
cfd,30.0,0.0,0.5,80.0
binarization,10.0,0.0,0.7,80.0
dbpedia,10.0,0.0,0.7,80.0
dbms,10.0,0.0,0.7,80.0
optimizer,10.0,0.0,0.7,80.0
the approximability,10.0,0.0,0.7,80.0
subroutines,10.0,0.0,0.7,80.0
personas,10.0,0.0,0.7,80.0
learnability,10.0,0.0,0.7,80.0
logiciels,10.0,0.0,0.7,80.0
pancyclicity,10.0,0.0,0.7,80.0
espa,81.0,0.0,0.0,81.0
inversion,61.0,0.0,0.2,81.0
quantization,41.0,0.0,0.4,81.0
olap,21.0,0.0,0.6,81.0
fuzziness,21.0,0.0,0.6,81.0
cross-layer,21.0,0.0,0.6,81.0
lossy,11.0,0.0,0.7,81.0
intranets,11.0,0.0,0.7,81.0
hardware/software co-design,11.0,0.0,0.7,81.0
ecirc,72.0,0.0,0.1,82.0
mammograms,62.0,0.0,0.2,82.0
categorization,52.0,0.0,0.3,82.0
2.0,42.0,0.0,0.4,82.0
matchings,42.0,0.0,0.4,82.0
modularity,32.0,0.0,0.5,82.0
ciphers,22.0,0.0,0.6,82.0
hamiltonicity,22.0,0.0,0.6,82.0
cryptosystems,12.0,0.0,0.7,82.0
concatenation,12.0,0.0,0.7,82.0
kinect,12.0,0.0,0.7,82.0
decryption,12.0,0.0,0.7,82.0
openstack,12.0,0.0,0.7,82.0
ambiguity,63.0,0.0,0.2,83.0
eigenvalues,53.0,0.0,0.3,83.0
parameterization,33.0,0.0,0.5,83.0
gabor wavelets,13.0,0.0,0.7,83.0
multicomputers,13.0,0.0,0.7,83.0
bl-algebras,13.0,0.0,0.7,83.0
intuitionistic,13.0,0.0,0.7,83.0
pca,54.0,0.0,0.3,84.0
anfis,54.0,0.0,0.3,84.0
maximization,44.0,0.0,0.4,84.0
cryptosystem,24.0,0.0,0.6,84.0
e-mail,24.0,0.0,0.6,84.0
co-clustering,14.0,0.0,0.7,84.0
github,14.0,0.0,0.7,84.0
nondeterminism,14.0,0.0,0.7,84.0
personalization,55.0,0.0,0.3,85.0
discrete-time,25.0,0.0,0.6,85.0
visualizations,25.0,0.0,0.6,85.0
approximability,15.0,0.0,0.7,85.0
deduplication,15.0,0.0,0.7,85.0
tikhonov regularization,15.0,0.0,0.7,85.0
meshes,36.0,0.0,0.5,86.0
privacy-preserving,26.0,0.0,0.6,86.0
the undecidability,26.0,0.0,0.6,86.0
spatio-temporal,16.0,0.0,0.7,86.0
kernelization,16.0,0.0,0.7,86.0
speculative multithreading,6.0,0.0,0.8,86.0
simulators,6.0,0.0,0.8,86.0
variational inequalities,63.0,-369.0,0.6,86.1
vlsi,47.0,0.0,0.4,87.0
vhdl,17.0,0.0,0.7,87.0
multivariate polynomials,17.0,0.0,0.7,87.0
hyper-heuristics,7.0,0.0,0.8,87.0
b-trees,7.0,0.0,0.8,87.0
publish/subscribe,7.0,0.0,0.8,87.0
a solver,7.0,0.0,0.8,87.0
cyber-security,7.0,0.0,0.8,87.0
ddos,7.0,0.0,0.8,87.0
cross-entropy,7.0,0.0,0.8,87.0
defuzzification,7.0,0.0,0.8,87.0
conjugate gradients,7.0,0.0,0.8,87.0
weakest preconditions,7.0,0.0,0.8,87.0
parametric polymorphism,7.0,0.0,0.8,87.0
broyden 's,7.0,0.0,0.8,87.0
a tradeoff,7.0,0.0,0.8,87.0
uniqueness,68.0,0.0,0.2,88.0
hetnets,58.0,0.0,0.3,88.0
preconditioners,38.0,0.0,0.5,88.0
reconfigurable,18.0,0.0,0.7,88.0
cyberinfrastructure,18.0,0.0,0.7,88.0
gradients,18.0,0.0,0.7,88.0
overfitting,8.0,0.0,0.8,88.0
open-source,8.0,0.0,0.8,88.0
wavelet denoising,8.0,0.0,0.8,88.0
deterministic annealing,8.0,0.0,0.8,88.0
ubicomp,8.0,0.0,0.8,88.0
pso,59.0,0.0,0.3,89.0
cscw,29.0,0.0,0.6,89.0
microcomputers,19.0,0.0,0.7,89.0
arq,19.0,0.0,0.7,89.0
w3c,9.0,0.0,0.8,89.0
lambda-calculus,9.0,0.0,0.8,89.0
extensible,9.0,0.0,0.8,89.0
bpmn,9.0,0.0,0.8,89.0
mpsoc,9.0,0.0,0.8,89.0
vizing 's,9.0,0.0,0.8,89.0
android smartphones,9.0,0.0,0.8,89.0
uav photogrammetry,9.0,0.0,0.8,89.0
ransac,9.0,0.0,0.8,89.0
hevc,50.0,0.0,0.4,90.0
watermarking,30.0,0.0,0.6,90.0
cross-validation,30.0,0.0,0.6,90.0
embeddings,30.0,0.0,0.6,90.0
elearning,30.0,0.0,0.6,90.0
photogrammetry,20.0,0.0,0.7,90.0
querying,20.0,0.0,0.7,90.0
nsga-ii,20.0,0.0,0.7,90.0
svms,20.0,0.0,0.7,90.0
neuroevolution,10.0,0.0,0.8,90.0
raster,10.0,0.0,0.8,90.0
chatbots,10.0,0.0,0.8,90.0
isabelle/hol,10.0,0.0,0.8,90.0
curvelet,10.0,0.0,0.8,90.0
combinators,10.0,0.0,0.8,90.0
bisimulations,10.0,0.0,0.8,90.0
polygonal meshes,10.0,0.0,0.8,90.0
eeg,61.0,0.0,0.3,91.0
parametric,51.0,0.0,0.4,91.0
summarization,51.0,0.0,0.4,91.0
generalizations,51.0,0.0,0.4,91.0
h. 264,41.0,0.0,0.5,91.0
p2p,31.0,0.0,0.6,91.0
convolution,21.0,0.0,0.7,91.0
delaunay triangulations,11.0,0.0,0.8,91.0
metaheuristic,11.0,0.0,0.8,91.0
opportunistic relaying,11.0,0.0,0.8,91.0
multi-document summarization,11.0,0.0,0.8,91.0
multi-view,11.0,0.0,0.8,91.0
jpeg2000,11.0,0.0,0.8,91.0
digraphs,72.0,0.0,0.2,92.0
lidar,62.0,0.0,0.3,92.0
reachability,32.0,0.0,0.6,92.0
the makespan,32.0,0.0,0.6,92.0
obdds,12.0,0.0,0.8,92.0
on,73.0,0.0,0.2,93.0
virtualization,43.0,0.0,0.5,93.0
dimensionality,33.0,0.0,0.6,93.0
r-trees,13.0,0.0,0.8,93.0
wikis,13.0,0.0,0.8,93.0
the optimality,44.0,0.0,0.5,94.0
itemsets,14.0,0.0,0.8,94.0
iterations,14.0,0.0,0.8,94.0
fingerprints,35.0,0.0,0.6,95.0
rbac,15.0,0.0,0.8,95.0
datacenters,15.0,0.0,0.8,95.0
subtyping,15.0,0.0,0.8,95.0
recursively enumerable,15.0,0.0,0.8,95.0
parallelism,56.0,0.0,0.4,96.0
hadoop,36.0,0.0,0.6,96.0
undecidability,36.0,0.0,0.6,96.0
unstructured grids,16.0,0.0,0.8,96.0
privacy-aware,6.0,0.0,0.9,96.0
b-tree,6.0,0.0,0.9,96.0
human-computer,6.0,0.0,0.9,96.0
delaunay triangulation,17.0,0.0,0.8,97.0
smalltalk,17.0,0.0,0.8,97.0
pomdps,7.0,0.0,0.9,97.0
extensibility,7.0,0.0,0.9,97.0
aliasing,7.0,0.0,0.9,97.0
ip/mpls,7.0,0.0,0.9,97.0
the lambda-calculus,7.0,0.0,0.9,97.0
expert-systems,7.0,0.0,0.9,97.0
model-based,28.0,0.0,0.7,98.0
modula-2,28.0,0.0,0.7,98.0
minlp,18.0,0.0,0.8,98.0
solver,18.0,0.0,0.8,98.0
web-based,8.0,0.0,0.9,98.0
vpns,8.0,0.0,0.9,98.0
simd,8.0,0.0,0.9,98.0
exascale,8.0,0.0,0.9,98.0
rdbms,8.0,0.0,0.9,98.0
transputers,8.0,0.0,0.9,98.0
microcontrollers,8.0,0.0,0.9,98.0
cobol,8.0,0.0,0.9,98.0
software-forum,8.0,0.0,0.9,98.0
k-means,49.0,0.0,0.5,99.0
3-d,39.0,0.0,0.6,99.0
splines,29.0,0.0,0.7,99.0
fault-tolerant,29.0,0.0,0.7,99.0
tradeoff,19.0,0.0,0.8,99.0
quadtree,9.0,0.0,0.9,99.0
r-tree,9.0,0.0,0.9,99.0
multi-objectives,9.0,0.0,0.9,99.0
tuples,9.0,0.0,0.9,99.0
semigroups,90.0,0.0,0.1,100.0
a 3d,40.0,0.0,0.6,100.0
resampling,10.0,0.0,0.9,100.0
amdahl 's,10.0,0.0,0.9,100.0
lookahead,10.0,0.0,0.9,100.0
sigplan,10.0,0.0,0.9,100.0
qm/mm,10.0,0.0,0.9,100.0
normalization,51.0,0.0,0.5,101.0
makespan,41.0,0.0,0.6,101.0
denoising,31.0,0.0,0.7,101.0
gpgpus,21.0,0.0,0.8,101.0
multi-user,11.0,0.0,0.9,101.0
chromatic polynomials,11.0,0.0,0.9,101.0
refactoring,11.0,0.0,0.9,101.0
parsers,11.0,0.0,0.9,101.0
sigcse,11.0,0.0,0.9,101.0
embedding,42.0,0.0,0.6,102.0
the iot,22.0,0.0,0.8,102.0
sparql,12.0,0.0,0.9,102.0
fault-tolerance,12.0,0.0,0.9,102.0
quicksort,12.0,0.0,0.9,102.0
betweenness centrality,12.0,0.0,0.9,102.0
classifier ensembles,12.0,0.0,0.9,102.0
retinex,12.0,0.0,0.9,102.0
sigchi,12.0,0.0,0.9,102.0
h. 264/avc,63.0,0.0,0.4,103.0
bitcoin,23.0,0.0,0.8,103.0
the minimization,23.0,0.0,0.8,103.0
milp,13.0,0.0,0.9,103.0
decoherence,13.0,0.0,0.9,103.0
lte,84.0,0.0,0.2,104.0
preprocessing,24.0,0.0,0.8,104.0
the gpu,24.0,0.0,0.8,104.0
object-oriented,14.0,0.0,0.9,104.0
unstructured meshes,14.0,0.0,0.9,104.0
biclustering,14.0,0.0,0.9,104.0
contourlet,14.0,0.0,0.9,104.0
uav,75.0,0.0,0.3,105.0
tradeoffs,25.0,0.0,0.8,105.0
fft,15.0,0.0,0.9,105.0
branch-and-bound,15.0,0.0,0.9,105.0
duality,96.0,0.0,0.1,106.0
dft,36.0,0.0,0.7,106.0
bisimulation,26.0,0.0,0.8,106.0
multi-objective,16.0,0.0,0.9,106.0
pseudorandom,6.0,0.0,1.0,106.0
the ipad,6.0,0.0,1.0,106.0
svm classifiers,6.0,0.0,1.0,106.0
multiobjective metaheuristics,6.0,0.0,1.0,106.0
modelica,6.0,0.0,1.0,106.0
characterizations,87.0,0.0,0.2,107.0
histogram,47.0,0.0,0.6,107.0
quadtrees,17.0,0.0,0.9,107.0
scale-space,7.0,0.0,1.0,107.0
multiprocessor,7.0,0.0,1.0,107.0
exploiting parallelism,7.0,0.0,1.0,107.0
p-splines,7.0,0.0,1.0,107.0
perceptrons,7.0,0.0,1.0,107.0
derivation,88.0,0.0,0.2,108.0
sparsity,58.0,0.0,0.5,108.0
gpgpu,18.0,0.0,0.9,108.0
supercomputing,8.0,0.0,1.0,108.0
a multi-agent,8.0,0.0,1.0,108.0
ransomware,8.0,0.0,1.0,108.0
autoencoder,8.0,0.0,1.0,108.0
errata,89.0,0.0,0.2,109.0
large-scale,79.0,0.0,0.3,109.0
markov,49.0,0.0,0.6,109.0
hypermedia,19.0,0.0,0.9,109.0
speedup,19.0,0.0,0.9,109.0
lstm,19.0,0.0,0.9,109.0
aspectj,9.0,0.0,1.0,109.0
the interplay,60.0,0.0,0.5,110.0
classifier,50.0,0.0,0.6,110.0
biometric,20.0,0.0,0.9,110.0
np-hard,20.0,0.0,0.9,110.0
groupware,20.0,0.0,0.9,110.0
multilayer perceptrons,20.0,0.0,0.9,110.0
triangular meshes,10.0,0.0,1.0,110.0
augmented lagrangians,10.0,0.0,1.0,110.0
wsn,81.0,0.0,0.3,111.0
permutation polynomials,51.0,0.0,0.6,111.0
cuda,41.0,0.0,0.7,111.0
histograms,31.0,0.0,0.8,111.0
a gpu,31.0,0.0,0.8,111.0
openfoam,11.0,0.0,1.0,111.0
multi-layer perceptron,11.0,0.0,1.0,111.0
shared-memory multiprocessors,11.0,0.0,1.0,111.0
cryptologic,82.0,0.0,0.3,112.0
recursion,32.0,0.0,0.8,112.0
siglog,12.0,0.0,1.0,112.0
autoencoders,12.0,0.0,1.0,112.0
logics,73.0,0.0,0.4,113.0
c++,73.0,0.0,0.4,113.0
supercomputers,23.0,0.0,0.9,113.0
multiuser,23.0,0.0,0.9,113.0
multi-agents,13.0,0.0,1.0,113.0
randomness,54.0,0.0,0.6,114.0
workflows,34.0,0.0,0.8,114.0
microservices,14.0,0.0,1.0,114.0
svm classifier,14.0,0.0,1.0,114.0
b-splines,14.0,0.0,1.0,114.0
computability,35.0,0.0,0.8,115.0
convolutional,25.0,0.0,0.9,115.0
internet-of-things,25.0,0.0,0.9,115.0
semi-supervised,15.0,0.0,1.0,115.0
treewidth,15.0,0.0,1.0,115.0
turing 's,15.0,0.0,1.0,115.0
least-squares,15.0,0.0,1.0,115.0
multilayer perceptron,16.0,0.0,1.0,116.0
unconstrained minimization,16.0,0.0,1.0,116.0
vanet,67.0,0.0,0.5,117.0
iterative,27.0,0.0,0.9,117.0
np-completeness,17.0,0.0,1.0,117.0
botnets,17.0,0.0,1.0,117.0
controllability,78.0,0.0,0.4,118.0
anonymity,68.0,0.0,0.5,118.0
ofdm,109.0,0.0,0.1,119.0
pushdown automata,19.0,0.0,1.0,119.0
backpropagation,19.0,0.0,1.0,119.0
regularization,90.0,0.0,0.3,120.0
a heuristic,80.0,0.0,0.4,120.0
cryptology,40.0,0.0,0.8,120.0
deterministic,40.0,0.0,0.8,120.0
satisfiability,30.0,0.0,0.9,120.0
datalog,20.0,0.0,1.0,120.0
opencl,20.0,0.0,1.0,120.0
grids,101.0,0.0,0.2,121.0
parallelization,72.0,0.0,0.5,122.0
factorization,62.0,0.0,0.6,122.0
atilde,113.0,0.0,0.1,123.0
grammars,43.0,0.0,0.8,123.0
context-free grammars,23.0,0.0,1.0,123.0
that,124.0,0.0,0.0,124.0
q-learning,34.0,0.0,0.9,124.0
comput,34.0,0.0,0.9,124.0
subgraphs,45.0,0.0,0.8,125.0
steganalysis,35.0,0.0,0.9,125.0
decision-making,106.0,0.0,0.2,126.0
the robustness,76.0,0.0,0.5,126.0
matroids,26.0,0.0,1.0,126.0
heuristic,97.0,0.0,0.3,127.0
hci,87.0,0.0,0.4,127.0
crowdsourcing,87.0,0.0,0.4,127.0
adaboost,27.0,0.0,1.0,127.0
concurrency,58.0,0.0,0.7,128.0
gamification,48.0,0.0,0.8,128.0
multi-agent,28.0,0.0,1.0,128.0
steganography,39.0,0.0,0.9,129.0
android,39.0,0.0,0.9,129.0
cybersecurity,29.0,0.0,1.0,129.0
lattices,130.0,0.0,0.0,130.0
uavs,100.0,0.0,0.3,130.0
2d,90.0,0.0,0.4,130.0
openmp,43.0,0.0,0.9,133.0
probabilistic,96.0,0.0,0.4,136.0
hypercubes,128.0,0.0,0.1,138.0
quantification,98.0,0.0,0.4,138.0
e-commerce,131.0,0.0,0.1,141.0
queues,92.0,0.0,0.5,142.0
multiprocessors,52.0,0.0,0.9,142.0
all,143.0,0.0,0.0,143.0
beamforming,75.0,0.0,0.7,145.0
mimo,106.0,0.0,0.4,146.0
facebook,76.0,0.0,0.7,146.0
hypergraphs,108.0,0.0,0.4,148.0
artifact,98.0,0.0,0.5,148.0
svm,78.0,0.0,0.7,148.0
real-time,139.0,0.0,0.1,149.0
algebras,151.0,0.0,0.0,151.0
e-government,143.0,0.0,0.1,153.0
biometrics,64.0,0.0,0.9,154.0
wavelets,95.0,0.0,0.6,155.0
computations,66.0,0.0,0.9,156.0
optimality,99.0,0.0,0.6,159.0
classifiers,120.0,0.0,0.4,160.0
metaheuristics,70.0,0.0,0.9,160.0
approximations,131.0,0.0,0.3,161.0
blockchain,123.0,0.0,0.4,163.0
smartphones,145.0,0.0,0.2,165.0
generalization,125.0,0.0,0.4,165.0
manets,167.0,0.0,0.0,167.0
prolog,102.0,0.0,0.7,172.0
fpgas,160.0,0.0,0.2,180.0
permutations,154.0,0.0,0.3,184.0
mapreduce,96.0,0.0,0.9,186.0
wsns,173.0,0.0,0.2,193.0
a generalization,157.0,0.0,0.4,197.0
twitter,171.0,0.0,0.3,201.0
wavelet,152.0,0.0,0.5,202.0
interpolation,135.0,0.0,0.7,205.0
erratum to,199.0,0.0,0.1,209.0
fpga,173.0,0.0,0.4,213.0
ontologies,154.0,0.0,0.6,214.0
polynomials,144.0,0.0,0.7,214.0
gpu,136.0,0.0,0.8,216.0
automata,153.0,0.0,0.7,223.0
e-learning,223.0,0.0,0.1,233.0
gpus,156.0,0.0,0.8,236.0
szlig,230.0,0.0,0.1,240.0
vanets,201.0,0.0,0.4,241.0
minimization,171.0,0.0,0.7,241.0
ntilde,232.0,0.0,0.1,242.0
robustness,215.0,0.0,0.5,265.0
heuristics,237.0,0.0,0.4,277.0
5g,260.0,0.0,0.2,280.0
the editor-in-chief,298.0,0.0,0.0,298.0
cryptanalysis,221.0,0.0,0.9,311.0
3d,302.0,0.0,0.6,362.0
corrigendum,334.0,0.0,0.4,374.0
iot,297.0,0.0,0.9,387.0
ccedil,395.0,0.0,0.1,405.0
you,522.0,0.0,0.1,532.0
erratum,579.0,0.0,0.1,589.0
the,1162.0,0.0,0.1,1172.0
it,1184.0,0.0,0.1,1194.0
