	Words Popularity in CS	Purity in CS	Raw number: CS and keyword	Arxiv Pop	Arxiv Pur	Arxiv Single Word Count	label
"  definitely
"	0.11370967741935484	0.022467771639042358	16146774	0.003217105263157895	0.09657387580299785	44200.0	0
"  described
"	0.6153225806451613	0.17051546391752578	87375806	0.06842105263157895	0.03311864406779661	2880000.0	0
"  despite
"	0.40161290322580645	0.1076923076923077	57029032	0.024144736842105264	0.03136752136752137	934000.0	0
"  did
"	0.9758064516129032	0.049553571428571426	138564516	0.02519736842105263	0.06416275430359937	609000.0	0
"  didn't
"	0.20887096774193548	0.028092243186582808	29659677	0.002125	0.2565573770491803	12200.0	0
"  different
"	0.9838709677419355	0.04736842105263158	139709677	0.09802631578947368	0.052795031055900624	2490000.0	0
"  do
"	1.1209677419354838	0.013392857142857142	159177419	0.08552631578947369	0.05131086142322097	3220000.0	0
"  does
"	0.9448275862068966	0.04511784511784512	134165517	0.07697368421052632	0.0486013986013986	3770000.0	0
"  doesn't
"	0.30551724137931036	0.030821917808219176	43383448	0.008026315789473683	0.19931271477663232	52700.0	0
"  doing
"	0.4786206896551724	0.0648695652173913	67964137	0.019078947368421053	0.18580246913580248	163000.0	0
"  don't
"	0.6593103448275862	0.026127167630057804	93622068	0.00875	0.18326693227091634	68300.0	0
"  done
"	0.8206896551724138	0.06704545454545455	116537931	0.05230263157894737	0.02772727272727273	3020000.0	0
"  down
"	0.7172413793103448	0.034169278996865206	101848275	0.03125	0.021689497716894976	2760000.0	0
"  downwards
"	0.001593103448275862	0.02118181818181818	226220	0.00175	0.1397790055248619	18600.0	0
"  during
"	0.8206896551724138	0.05763546798029557	116537931	0.14473684210526316	0.0775	2970000.0	0
"  each
"	0.9448275862068966	0.053875968992248065	134165517	0.0993421052631579	0.04209039548022599	2880000.0	0
"  edu
"	0.9655172413793104	0.15873015873015872	137103448	0.12960526315789472	0.06459016393442622	2860000.0	0
"  eg
"	0.6689655172413793	0.13796940194714882	94993103	0.0643421052631579	0.031861198738170345	3010000.0	0
